txn_id,person_id,amount,timestamp,counterparty,type
t_00026,p_002,1396.91,2026-08-23T06:53:09,Logan Bal,payment
t_00027,p_002,779.9,2026-08-04T19:48:13,Chakrika Lad,payment
t_00028,p_002,1363.42,2026-08-20T21:17:13,Nidhi Rama,payment
t_00029,p_002,1479.43,2026-08-09T17:11:35,Ranveer Oza,withdrawal
t_00030,p_002,8807.55,2026-08-26T05:59:00,Offshore Shell Corp,transfer
t_00031,p_002,48096.29,2026-08-10T10:00:00,ATM Cash Deposit,deposit
t_00032,p_002,48286.21,2026-08-11T13:00:00,ATM Cash Deposit,deposit
t_00033,p_002,49672.6,2026-08-12T12:00:00,ATM Cash Deposit,deposit
t_00034,p_002,48347.96,2026-08-13T11:00:00,ATM Cash Deposit,deposit
t_00035,p_002,46193.19,2026-08-14T12:00:00,ATM Cash Deposit,deposit
t_00036,p_003,698.76,2026-08-13T16:31:39,Odika Bhagat,payment
t_00037,p_003,1423.07,2026-08-03T13:45:15,Laksh Iyer,payment
t_00038,p_003,1268.43,2026-08-13T13:09:57,Nimrat Shankar,payment
t_00039,p_003,158.56,2026-08-10T21:14:32,Diya Gole,withdrawal
t_00040,p_003,1214.57,2026-08-21T16:14:16,Vinaya Natarajan,payment
t_00041,p_003,394.11,2026-08-21T16:12:23,Dhriti Bhardwaj,payment
t_00042,p_003,595.15,2026-08-16T08:08:50,Siya Mahal,withdrawal
t_00043,p_003,1149.27,2026-08-23T09:33:28,Om Dutt,payment
t_00044,p_003,1466.69,2026-08-20T21:15:44,Gaurang Dayal,payment
t_00045,p_003,134.7,2026-08-21T06:32:30,Pushti Raval,withdrawal
t_00046,p_003,676.4,2026-08-18T23:52:38,Vansha Rajagopal,payment
t_00047,p_003,8076.51,2026-08-26T05:34:00,Offshore Shell Corp,transfer
t_00048,p_003,47181.53,2026-08-10T12:00:00,ATM Cash Deposit,deposit
t_00049,p_003,46925.59,2026-08-11T10:00:00,ATM Cash Deposit,deposit
t_00050,p_003,46273.36,2026-08-12T11:00:00,ATM Cash Deposit,deposit
t_00051,p_003,45008.45,2026-08-13T13:00:00,ATM Cash Deposit,deposit
t_00052,p_003,46820.74,2026-08-14T11:00:00,ATM Cash Deposit,deposit
t_00053,p_004,306.3,2026-08-19T13:13:21,Siddharth Bains,payment
t_00054,p_004,765.19,2026-08-06T15:09:11,Jatin Peri,payment
t_00055,p_004,1340.59,2026-08-11T11:23:23,Keya Kumer,payment
t_00056,p_004,637.57,2026-08-17T12:31:37,Chanakya Chokshi,withdrawal
t_00057,p_004,1018.48,2026-08-06T14:40:45,Chanakya D’Alia,payment
t_00058,p_004,1304.62,2026-08-21T12:44:53,Sachi Rai,payment
t_00059,p_004,406.38,2026-08-18T21:41:17,Zayyan Som,withdrawal
t_00060,p_004,448.88,2026-08-02T03:43:13,Samesh Andra,payment
t_00061,p_004,1221.98,2026-08-11T11:58:00,Osha Chaudhuri,withdrawal
t_00062,p_004,9412.84,2026-08-26T05:49:00,Offshore Shell Corp,transfer
t_00063,p_004,47078.46,2026-08-10T13:00:00,ATM Cash Deposit,deposit
t_00064,p_004,49163.62,2026-08-11T11:00:00,ATM Cash Deposit,deposit
t_00065,p_004,49523.29,2026-08-12T13:00:00,ATM Cash Deposit,deposit
t_00066,p_004,49282.8,2026-08-13T10:00:00,ATM Cash Deposit,deposit
t_00067,p_005,556.62,2026-08-17T15:43:36,Dhriti Sandhu,withdrawal
t_00068,p_005,1032.56,2026-08-20T09:03:00,Girish Bath,payment
t_00069,p_005,521.03,2026-08-03T18:59:54,Lakshit Garde,payment
t_00070,p_005,1204.96,2026-08-10T04:28:06,Ishita Sarma,withdrawal
t_00071,p_005,753.14,2026-08-17T14:30:01,Girik Pradhan,withdrawal
t_00072,p_005,962.12,2026-08-11T13:18:12,Qadim Comar,withdrawal
t_00073,p_005,329.25,2026-08-08T13:00:38,Mugdha Shan,payment
t_00074,p_005,1511.47,2026-08-10T11:11:40,Lekha Sridhar,payment
t_00075,p_005,1503.35,2026-08-06T17:54:34,Ojas Chowdhury,withdrawal
t_00076,p_005,1955.55,2026-08-22T17:42:04,Daniel Dutta,withdrawal
t_00077,p_005,1681.99,2026-08-30T09:58:03,Omaja Subramanian,withdrawal
t_00078,p_005,440.94,2026-08-07T19:47:16,Pratyush Raghavan,payment
t_00079,p_005,340.51,2026-08-22T05:46:23,Ayush De,payment
t_00080,p_005,1151.38,2026-08-30T05:29:32,Vinaya Chowdhury,payment
t_00081,p_005,1530.31,2026-08-20T03:15:58,Ridhi Batra,payment
t_00082,p_005,1190.72,2026-08-27T04:21:29,Advika Murthy,withdrawal
t_00083,p_005,747.34,2026-08-15T08:40:27,Udarsh Nigam,payment
t_00084,p_005,1737.27,2026-08-08T13:47:03,Rachita Kothari,payment
t_00085,p_005,861.34,2026-08-25T15:55:23,Hiral Rajan,payment
t_00086,p_005,1404.26,2026-08-18T07:27:18,Chatura Apte,payment
t_00087,p_005,1169.4,2026-08-05T11:25:20,Yashasvi Singh,withdrawal
t_00088,p_005,571.56,2026-08-03T13:19:48,Noah Borde,withdrawal
t_00089,p_005,1602.41,2026-08-19T04:32:55,Ekani Khosla,payment
t_00090,p_005,822.72,2026-08-24T06:29:57,Arunima Bedi,withdrawal
t_00091,p_005,1218.2,2026-08-09T22:05:39,Kritika Rau,withdrawal
t_00092,p_005,1279.95,2026-08-10T03:52:25,Farhan Sharaf,payment
t_00093,p_005,494.8,2026-08-29T10:15:53,Sara Chakrabarti,payment
t_00094,p_005,254.26,2026-08-08T22:32:42,Sanya Mutti,payment
t_00095,p_005,242.62,2026-08-06T05:08:44,Widisha Badami,payment
t_00096,p_005,1409.81,2026-08-13T06:07:57,Netra Sachar,withdrawal
t_00097,p_006,373.9,2026-08-01T11:03:00,Harita Patla,payment
t_00098,p_006,1584.9,2026-08-03T05:52:34,Udant Sha,withdrawal
t_00099,p_006,1416.14,2026-08-11T03:45:50,Urvashi Patla,payment
t_00100,p_006,1719.45,2026-08-26T13:16:15,Ishaan Chatterjee,withdrawal
t_00101,p_006,1290.92,2026-08-29T14:58:49,Aarnav Om,withdrawal
t_00102,p_006,168.21,2026-08-27T04:06:56,Bishakha Vig,payment
t_00103,p_006,1400.36,2026-08-08T01:02:04,Hitesh Bath,withdrawal
t_00104,p_006,1518.86,2026-08-30T22:08:47,Waida Dey,withdrawal
t_00105,p_006,1544.7,2026-08-30T08:24:11,Hredhaan Kumar,payment
t_00106,p_006,1418.6,2026-08-14T07:26:54,Raghav Dara,payment
t_00107,p_006,1612.67,2026-08-02T09:06:48,Tanveer Shankar,withdrawal
t_00108,p_006,918.3,2026-08-11T18:05:36,Hamsini Chokshi,payment
t_00109,p_006,1175.26,2026-08-16T22:26:23,Chakradhar Dasgupta,payment
t_00110,p_006,250.04,2026-08-06T02:23:17,Tanvi Thaman,withdrawal
t_00111,p_006,557.58,2026-08-19T14:11:29,Wishi Agrawal,payment
t_00112,p_006,1312.02,2026-08-07T23:10:32,Rachita Subramanian,withdrawal
t_00113,p_006,117.86,2026-08-08T15:50:06,Oscar Dave,withdrawal
t_00114,p_006,1387.46,2026-08-28T00:52:14,Lila Nagy,payment
t_00115,p_006,1895.95,2026-08-03T05:10:50,Omya Kothari,withdrawal
t_00116,p_006,906.19,2026-08-20T04:02:09,Mitali Oza,withdrawal
t_00117,p_006,674.03,2026-08-14T16:55:18,Sneha Deol,withdrawal
t_00118,p_006,302.64,2026-08-26T14:24:05,Nitara Vala,withdrawal
t_00119,p_006,1192.14,2026-08-18T03:47:03,Dipta Kalla,withdrawal
t_00120,p_006,1677.07,2026-08-01T15:47:47,Shaurya Mannan,withdrawal
t_00121,p_006,1175.27,2026-08-09T05:37:33,Kevin Gokhale,payment
t_00122,p_006,1515.83,2026-08-28T07:38:39,Jack Pandey,withdrawal
t_00123,p_006,537.22,2026-08-24T06:32:00,Omisha Walla,withdrawal
t_00124,p_006,461.25,2026-08-07T13:40:59,Pahal Arya,withdrawal
t_00125,p_006,1469.76,2026-08-21T07:59:25,Aryan Raj,payment
t_00126,p_007,1644.8,2026-08-18T14:11:44,Yasti Mani,payment
t_00127,p_007,380.35,2026-08-10T20:33:46,Lakshmi Ram,payment
t_00128,p_007,1969.65,2026-08-09T07:38:16,Dhriti Bhagat,payment
t_00129,p_007,1617.18,2026-08-17T04:57:18,Zayan Jain,payment
t_00130,p_007,148.98,2026-08-20T19:57:41,Umang Pillai,payment
t_00131,p_007,1598.02,2026-08-11T17:56:03,Rishi Menon,withdrawal
t_00132,p_007,604.2,2026-08-01T11:21:44,Peter Borde,payment
t_00133,p_007,1099.56,2026-08-23T06:02:13,Oscar Varkey,payment
t_00134,p_007,1578.23,2026-08-15T06:53:49,Krishna Baria,payment
t_00135,p_007,520.94,2026-08-14T13:26:38,Arya Lalla,payment
t_00136,p_007,1826.63,2026-08-22T19:36:53,Naveen Kumer,withdrawal
t_00137,p_007,1931.65,2026-08-14T17:47:26,Ganga Shukla,payment
t_00138,p_007,1709.87,2026-08-30T22:58:56,Balveer Dube,withdrawal
t_00139,p_007,1031.51,2026-08-21T13:59:24,Charan Mitra,withdrawal
t_00140,p_007,253.5,2026-08-03T04:54:47,Ishita Bora,payment
t_00141,p_007,622.53,2026-08-02T23:17:28,Thomas Gour,withdrawal
t_00142,p_007,1235.04,2026-08-12T10:15:04,Yashasvi Dutta,withdrawal
t_00143,p_007,1250.31,2026-08-14T14:40:30,Netra Chanda,payment
t_00144,p_007,317.39,2026-08-24T19:01:45,Timothy Kala,payment
t_00145,p_007,1787.37,2026-08-13T21:39:01,Garima Patel,withdrawal
t_00146,p_007,961.65,2026-08-11T04:01:50,Tejas Wali,withdrawal
t_00147,p_008,1704.52,2026-08-03T15:27:12,Aditya Contractor,payment
t_00148,p_008,860.85,2026-08-14T01:41:13,Sanaya Khosla,payment
t_00149,p_008,689.52,2026-08-12T20:57:07,Balveer Nagi,withdrawal
t_00150,p_008,1580.32,2026-08-07T15:31:54,Ishaan Raju,payment
t_00151,p_008,316.65,2026-08-16T07:32:52,Barkha Bakshi,payment
t_00152,p_008,763.81,2026-08-28T04:15:51,Yoshita Trivedi,payment
t_00153,p_008,378.24,2026-08-08T02:06:48,Vidhi Bassi,payment
t_00154,p_008,390.45,2026-08-06T04:55:09,Reyansh Nagi,payment
t_00155,p_008,1568.41,2026-08-06T07:32:42,Gopal Ganesh,withdrawal
t_00156,p_008,1171.1,2026-08-14T22:02:46,Dominic Kade,withdrawal
t_00157,p_008,1775.89,2026-08-21T10:24:57,Panini Chawla,withdrawal
t_00158,p_008,1291.71,2026-08-26T22:15:27,Radhika Bora,payment
t_00159,p_008,990.95,2026-08-14T04:37:45,Arjun Sharaf,withdrawal
t_00160,p_008,1223.7,2026-08-24T21:21:26,Baljiwan Chahal,withdrawal
t_00161,p_008,689.77,2026-08-16T05:16:57,Chatura Gokhale,withdrawal
t_00162,p_008,800.6,2026-08-02T03:04:37,Ekavir Kari,withdrawal
t_00163,p_008,1742.08,2026-08-03T07:14:46,Nikita Rama,payment
t_00164,p_008,1063.43,2026-08-19T10:48:21,Nidhi Sant,withdrawal
t_00165,p_008,1913.04,2026-08-18T09:50:13,Anay Ramachandran,payment
t_00166,p_008,1638.65,2026-08-14T11:48:29,Abeer Bhatnagar,payment
t_00167,p_008,1003.7,2026-08-10T15:29:57,Elijah Parmar,payment
t_00168,p_008,955.99,2026-08-29T17:33:36,Bimala Mitra,withdrawal
t_00169,p_008,260.23,2026-08-30T11:19:03,Baghyawati Sarma,payment
t_00170,p_008,1444.48,2026-08-02T04:10:56,Megha Balasubramanian,withdrawal
t_00171,p_008,1258.63,2026-08-16T17:19:45,Naksh Walla,withdrawal
t_00172,p_008,637.5,2026-08-12T04:27:12,Laban Raman,withdrawal
t_00173,p_009,361.44,2026-08-24T17:47:38,Maanas Misra,withdrawal
t_00174,p_009,997.66,2026-08-28T12:31:30,Advay Dhaliwal,payment
t_00175,p_009,991.31,2026-08-23T18:21:56,Benjamin Ahluwalia,payment
t_00176,p_009,136.11,2026-08-28T04:13:02,Frederick Mody,payment
t_00177,p_009,1142.73,2026-08-26T01:10:24,Hemangini Kakar,withdrawal
t_00178,p_009,647.39,2026-08-04T08:03:16,Yauvani Dhar,withdrawal
t_00179,p_009,553.04,2026-08-04T15:43:50,Qarin Kant,withdrawal
t_00180,p_009,1689.71,2026-08-02T21:13:16,Rishi Contractor,withdrawal
t_00181,p_009,131.23,2026-08-18T21:39:07,Chatura Shenoy,payment
t_00182,p_009,653.42,2026-08-22T13:21:06,Bina Bhavsar,payment
t_00183,p_009,557.07,2026-08-19T10:39:46,Guneet Hora,withdrawal
t_00184,p_009,1369.61,2026-08-06T14:51:57,Ganga Parikh,withdrawal
t_00185,p_009,1099.51,2026-08-03T00:43:44,Wahab Chaudhry,payment
t_00186,p_009,993.26,2026-08-12T17:07:36,Ekaraj Hari,withdrawal
t_00187,p_009,581.94,2026-08-30T10:20:54,Vedika Seshadri,payment
t_00188,p_009,228.36,2026-08-11T17:06:27,Damini Dua,payment
t_00189,p_009,1293.69,2026-08-22T23:43:03,Diya Sangha,withdrawal
t_00190,p_009,769.37,2026-08-05T00:03:17,Aayush Munshi,withdrawal
t_00191,p_009,432.67,2026-08-25T09:43:34,Timothy Sarin,withdrawal
t_00192,p_009,1009.21,2026-08-30T10:11:23,Jagvi Desai,payment
t_00193,p_009,219.89,2026-08-25T08:16:41,Varsha Shere,withdrawal
t_00194,p_009,483.02,2026-08-02T02:37:41,Jagrati Mody,payment
t_00195,p_009,699.63,2026-08-27T13:46:08,Ikbal Gill,withdrawal
t_00196,p_009,1979.33,2026-08-16T11:04:34,Avni Dey,withdrawal
t_00197,p_009,1531.25,2026-08-08T14:23:09,Adya Bose,payment
t_00198,p_010,407.74,2026-08-10T02:58:10,Urmi Dixit,payment
t_00199,p_010,1887.72,2026-08-11T09:08:11,Manya Kapoor,withdrawal
t_00200,p_010,576.15,2026-08-26T09:04:20,Krish Shetty,withdrawal
t_00201,p_010,675.37,2026-08-04T18:07:21,Mekhala Patla,payment
t_00202,p_010,420.41,2026-08-16T01:51:09,William Gandhi,payment
t_00203,p_010,1286.51,2026-08-06T03:15:52,Sanaya Dutta,withdrawal
t_00204,p_010,1170.87,2026-08-26T06:37:17,Madhav Sule,payment
t_00205,p_010,1902.24,2026-08-03T10:28:49,Banjeet Kanda,withdrawal
t_00206,p_010,1557.22,2026-08-20T12:48:48,Vincent Bhatnagar,withdrawal
t_00207,p_010,157.54,2026-08-19T13:02:17,Kala Kaur,withdrawal
t_00208,p_010,673.98,2026-08-20T06:10:23,Samuel Vasa,payment
t_00209,p_010,1401.48,2026-08-25T03:22:31,Lipika Singh,withdrawal
t_00210,p_010,1408.37,2026-08-14T14:33:06,Chakradhar Baral,payment
t_00211,p_010,1020.08,2026-08-14T04:30:57,Harshil Verma,payment
t_00212,p_010,372.97,2026-08-11T04:56:19,Adya Ghosh,withdrawal
t_00213,p_010,1735.48,2026-08-23T00:37:25,Kritika Pau,withdrawal
t_00214,p_010,804.03,2026-08-04T22:09:05,Zansi Krishnamurthy,payment
t_00215,p_010,986.3,2026-08-10T13:45:48,Udant Varty,withdrawal
t_00216,p_010,367.67,2026-08-14T11:42:32,Ira Pai,payment
t_00217,p_011,696.13,2026-08-16T18:20:36,Ishaan Subramaniam,payment
t_00218,p_011,1112.94,2026-08-14T18:57:27,Varenya Kade,withdrawal
t_00219,p_011,1748.54,2026-08-21T06:37:31,Nirja Bains,withdrawal
t_00220,p_011,465.3,2026-08-19T07:15:18,Caleb Datta,payment
t_00221,p_011,667.15,2026-08-09T08:53:04,Krish Vala,withdrawal
t_00222,p_011,1439.31,2026-08-24T03:14:43,Manan Bhalla,withdrawal
t_00223,p_011,762.73,2026-08-10T12:16:09,Aarna Gole,withdrawal
t_00224,p_011,1189.61,2026-08-09T15:12:30,Anirudh Mander,withdrawal
t_00225,p_011,849.61,2026-08-27T20:56:51,Tarak Sen,withdrawal
t_00226,p_011,1628.77,2026-08-29T15:19:06,Vasatika Garde,withdrawal
t_00227,p_011,1915.1,2026-08-02T06:17:16,Nirja Dhar,payment
t_00228,p_011,940.51,2026-08-11T09:22:54,Yasti Lalla,withdrawal
t_00229,p_011,506.57,2026-08-23T10:05:01,Hema Setty,withdrawal
t_00230,p_011,1422.73,2026-08-28T23:46:38,Victor Radhakrishnan,payment
t_00231,p_011,1507.69,2026-08-04T06:38:35,Kevin Chopra,payment
t_00232,p_011,1372.68,2026-08-08T06:34:11,Samaksh Virk,payment
t_00233,p_011,199.73,2026-08-20T03:19:12,Mason Char,withdrawal
t_00234,p_011,997.57,2026-08-10T21:48:41,Vamakshi Barad,payment
t_00235,p_011,1145.67,2026-08-01T03:43:50,Girik Subramaniam,payment
t_00236,p_011,1876.56,2026-08-13T04:58:24,Aarav Sankar,withdrawal
t_00237,p_011,478.97,2026-08-15T07:45:46,Kamala Bassi,withdrawal
t_00238,p_011,1327.21,2026-08-10T15:14:26,Veer Subramaniam,payment
t_00239,p_011,541.22,2026-08-20T13:39:18,Inaya Chaudhari,payment
t_00240,p_011,432.62,2026-08-28T09:31:31,Krish Kumar,payment
t_00241,p_011,169.05,2026-08-29T00:25:27,Viraj Chacko,withdrawal
t_00242,p_011,453.99,2026-08-24T15:19:53,Nilima Kurian,withdrawal
t_00243,p_011,117.61,2026-08-27T07:15:18,Abdul Amble,payment
t_00244,p_011,736.58,2026-08-28T20:29:14,Zinal Amble,withdrawal
t_00245,p_011,1132.27,2026-08-30T16:09:05,Samesh Mutti,withdrawal
t_00246,p_011,354.98,2026-08-27T16:16:01,Janaki Chhabra,withdrawal
t_00247,p_012,760.76,2026-08-20T14:32:40,Zehaan Mohanty,payment
t_00248,p_012,846.81,2026-08-30T18:50:58,Mitali Devi,payment
t_00249,p_012,523.11,2026-08-22T20:03:28,Victor Sekhon,payment
t_00250,p_012,1959.13,2026-08-23T16:26:57,Harish Kala,withdrawal
t_00251,p_012,1134.45,2026-08-21T04:55:11,Hamsini Ben,withdrawal
t_00252,p_012,570.27,2026-08-25T16:49:10,Lopa Ahluwalia,withdrawal
t_00253,p_012,458.11,2026-08-05T15:41:14,Maanav Sinha,payment
t_00254,p_012,1354.38,2026-08-01T23:11:47,Gaurang Bhatt,payment
t_00255,p_012,227.85,2026-08-08T05:16:47,Tristan Prabhakar,payment
t_00256,p_012,1376.84,2026-08-14T09:26:15,Baljiwan Rajagopalan,payment
t_00257,p_012,184.05,2026-08-08T08:12:30,Bhavini Bhandari,withdrawal
t_00258,p_012,512.81,2026-08-08T00:43:27,Warda Sarna,payment
t_00259,p_012,1987.62,2026-08-05T04:53:51,Saksham Vasa,payment
t_00260,p_012,1489.88,2026-08-25T11:21:57,Robert Bandi,withdrawal
t_00261,p_012,1567.82,2026-08-18T07:46:54,Omkaar Banik,withdrawal
t_00262,p_012,1764.89,2026-08-08T02:34:15,William Acharya,payment
t_00263,p_012,622.79,2026-08-13T09:45:48,Gabriel Majumdar,payment
t_00264,p_012,911.68,2026-08-19T18:42:54,Ira Rana,withdrawal
t_00265,p_012,754.39,2026-08-02T09:45:23,Sai Vasa,withdrawal
t_00266,p_013,1150.13,2026-08-12T09:04:12,Suhani Raval,payment
t_00267,p_013,1435.41,2026-08-20T02:27:31,Advika Gill,payment
t_00268,p_013,924.43,2026-08-15T23:53:52,Yashawini Chhabra,withdrawal
t_00269,p_013,1730.12,2026-08-17T23:25:00,Yahvi Menon,payment
t_00270,p_013,1846.39,2026-08-27T20:14:58,Jackson Varghese,payment
t_00271,p_013,1749.42,2026-08-07T08:13:13,Zashil Savant,withdrawal
t_00272,p_013,1855.9,2026-08-09T03:11:18,Veda Kohli,withdrawal
t_00273,p_013,1170.67,2026-08-27T23:30:15,Tara Sharma,payment
t_00274,p_013,1715.81,2026-08-06T09:08:06,Vasatika Dada,payment
t_00275,p_013,1215.37,2026-08-29T20:15:28,Ekansh Raja,withdrawal
t_00276,p_013,668.63,2026-08-28T20:47:23,Victor Mutti,payment
t_00277,p_013,1713.94,2026-08-18T00:01:15,Ira Varty,withdrawal
t_00278,p_013,1505.52,2026-08-12T12:22:09,Adya Kothari,payment
t_00279,p_013,1951.21,2026-08-16T00:34:15,Girik Rastogi,payment
t_00280,p_013,541.07,2026-08-03T22:20:01,Faqid Gokhale,payment
t_00281,p_013,1561.11,2026-08-11T05:13:36,Dipta Pandya,withdrawal
t_00282,p_013,720.12,2026-08-30T01:37:22,Amruta Goswami,withdrawal
t_00283,p_013,956.05,2026-08-24T12:09:16,Wishi Iyengar,payment
t_00284,p_013,1888.17,2026-08-11T16:11:02,Wyatt Lanka,withdrawal
t_00285,p_013,1213.16,2026-08-06T13:43:52,Veer Jain,withdrawal
t_00286,p_013,1275.37,2026-08-03T13:41:59,Ishani Dugal,payment
t_00287,p_013,255.87,2026-08-22T09:26:17,Jagdish Brar,payment
t_00288,p_013,1589.39,2026-08-12T09:35:59,Abeer Basak,payment
t_00289,p_013,701.69,2026-08-23T04:33:06,Kamya Murty,payment
t_00290,p_013,1891.62,2026-08-03T17:53:40,Anvi Swaminathan,withdrawal
t_00291,p_013,612.56,2026-08-11T19:08:26,Yasti Mammen,payment
t_00292,p_013,918.86,2026-08-03T14:51:14,Tristan Dave,withdrawal
t_00293,p_014,751.83,2026-08-11T10:47:47,Karan Karnik,payment
t_00294,p_014,761.77,2026-08-16T15:12:09,Anamika Keer,payment
t_00295,p_014,1423.85,2026-08-14T03:28:46,Lakshmi Hayre,withdrawal
t_00296,p_014,184.9,2026-08-03T00:21:55,Mason Solanki,payment
t_00297,p_014,751.85,2026-08-01T16:15:40,Patrick Sama,payment
t_00298,p_014,412.27,2026-08-21T07:32:25,Krish Varughese,payment
t_00299,p_014,1148.63,2026-08-16T11:30:56,Vidhi Mital,withdrawal
t_00300,p_014,1921.08,2026-08-17T19:05:28,Champak Rao,payment
t_00301,p_014,1296.54,2026-08-24T22:23:03,Nihal Bhasin,payment
t_00302,p_014,921.06,2026-08-20T05:08:41,Aachal Soni,payment
t_00303,p_014,1777.89,2026-08-23T02:55:10,Shivani Natt,withdrawal
t_00304,p_014,838.79,2026-08-18T18:23:10,Jalsa Parsa,payment
t_00305,p_014,1529.42,2026-08-07T04:09:53,Hemangini Bahri,payment
t_00306,p_014,1619.05,2026-08-18T07:41:25,Jairaj Panchal,payment
t_00307,p_014,474.44,2026-08-11T23:22:15,Owen Mane,payment
t_00308,p_014,1739.01,2026-08-08T20:53:40,Ekta Uppal,withdrawal
t_00309,p_014,1261.49,2026-08-18T21:49:08,Sanya Brar,payment
t_00310,p_014,1706.48,2026-08-11T10:30:20,Bhavini Sheth,payment
t_00311,p_014,1441.38,2026-08-25T09:53:29,Oliver Nazareth,withdrawal
t_00312,p_015,806.5,2026-08-08T12:16:49,Nidhi Bora,payment
t_00313,p_015,1288.65,2026-08-02T13:17:12,Neel Oza,payment
t_00314,p_015,273.28,2026-08-13T21:02:46,Dipta Nadig,payment
t_00315,p_015,1005.93,2026-08-01T00:46:55,Amara Rana,payment
t_00316,p_015,1086.94,2026-08-18T19:26:57,Sai Patil,withdrawal
t_00317,p_015,1421.63,2026-08-01T06:41:11,Odika Ganesh,payment
t_00318,p_015,902.4,2026-08-30T15:28:17,Arin Dass,payment
t_00319,p_015,535.0,2026-08-15T07:56:39,Zayan Buch,payment
t_00320,p_015,294.61,2026-08-22T22:08:58,Ojas Ranganathan,withdrawal
t_00321,p_015,668.59,2026-08-12T00:38:39,Girish Bhatt,withdrawal
t_00322,p_015,1531.0,2026-08-24T04:53:29,Chatura Bal,payment
t_00323,p_015,1386.56,2026-08-20T05:56:05,Fiyaz Chawla,payment
t_00324,p_015,116.1,2026-08-16T21:57:57,Nachiket Chad,payment
t_00325,p_015,1472.62,2026-08-14T04:52:17,Dayamai Karnik,payment
t_00326,p_015,1270.54,2026-08-28T14:19:25,Bhanumati Savant,withdrawal
t_00327,p_015,264.71,2026-08-26T19:10:22,Karan Vyas,payment
t_00328,p_015,334.0,2026-08-05T04:48:34,Ayush Banerjee,withdrawal
t_00329,p_015,915.84,2026-08-11T13:06:20,Eshana Soni,payment
t_00330,p_015,1324.78,2026-08-08T10:24:22,Anita Saxena,payment
t_00331,p_015,1240.01,2026-08-17T14:26:44,Peter Shan,withdrawal
t_00332,p_015,1411.9,2026-08-24T08:51:29,Dayita Palan,withdrawal
t_00333,p_015,1253.16,2026-08-07T03:55:15,Utkarsh Chakraborty,payment
t_00334,p_015,661.53,2026-08-23T10:26:50,Darika Pau,payment
t_00335,p_015,1608.18,2026-08-24T12:20:13,Abha Dugal,payment
t_00336,p_015,314.21,2026-08-15T20:19:08,Advaith Acharya,withdrawal
t_00337,p_015,234.92,2026-08-20T03:25:09,Hemangini Mangat,payment
t_00338,p_016,1628.24,2026-08-06T09:07:40,Abhiram Swamy,payment
t_00339,p_016,230.96,2026-08-29T14:56:13,Chandani Andra,withdrawal
t_00340,p_016,1569.7,2026-08-26T23:32:35,Brinda Kashyap,withdrawal
t_00341,p_016,1150.87,2026-08-10T19:39:23,Kashvi Gulati,payment
t_00342,p_016,654.03,2026-08-12T01:37:18,Rajeshri Rana,withdrawal
t_00343,p_016,560.91,2026-08-23T04:29:40,Nihal Ramakrishnan,withdrawal
t_00344,p_016,1037.39,2026-08-18T18:01:02,Thomas Lall,payment
t_00345,p_016,1138.46,2026-08-22T23:22:24,Pahal Khatri,payment
t_00346,p_016,1871.56,2026-08-05T12:24:28,Bhavani Wali,payment
t_00347,p_016,758.21,2026-08-07T23:45:30,Nitara Guha,payment
t_00348,p_016,102.78,2026-08-29T12:42:46,Qabil Deshpande,withdrawal
